Modelo,N_variables,R2,RMSE_C,MAE_C,Tiempo_entrenamiento_ms,Varianza_retenida_pct
Regresion Lineal,4,0.6833425318372692,2.3287412680402655,1.9275222596746961,0.7951259613037109,100.0
k-NN (k=4),4,0.7522520048192992,2.059830319078789,1.6933962264150941,0.2605915069580078,100.0
"k-NN + PCA (3 comps, k=3)",3,0.7252321592781878,2.1692485825736765,1.7062893081761004,0.29540061950683594,92.59779021848874
